"행정구역(시군구)별",2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"마산회원구",221388,219558,214291,211791,210791,203926,199457,193807,191289,186881,183662,179818
"진해구",182383,182122,181990,185733,187313,189898,193376,193622,192755,194949,193994,191225
"진주시",337314,337071,340241,344426,346739,346681,345987,347334,348096,347097,343782,341074
"통영시",139347,139719,139439,139168,138160,135833,133720,131404,128293,125383,122681,120551
"사천시",115321,116851,116485,115452,114912,114252,113888,111925,111105,109953,109369,109030
"사천남양출장소",-,-,-,-,-,-,-,-,0,-,0,0
"김해시",513260,522049,527240,528865,529422,532132,533672,542455,542338,537673,535129,533659
"장유출장소",-,-,-,-,-,-,-,-,0,-,0,0
"밀양시",108755,108342,107765,107896,108354,107898,106744,105552,104831,103525,102945,102084
"거제시",236944,242077,248287,255828,257183,254073,250516,248276,245754,241216,236662,234038
"양산시",270460,279565,292376,301291,317037,338535,348639,350759,352229,354726,353792,355122
"양산시웅상출장소",-,-,-,-,-,-,-,-,0,-,0,0
"의령군",30329,29417,29209,28544,28111,27849,27667,27168,26800,26322,26061,25475
"함안군",67425,67667,68741,69156,68937,68207,67025,65700,64182,62547,61456,60203
"창녕군",62966,63447,63502,63817,63982,64101,63396,62331,61301,60129,58372,57083
"고성군",56906,56369,55916,55284,54703,54060,53243,52276,51361,50478,50448,49468
"남해군",48223,47244,46638,45865,45129,44642,43990,43622,42958,42266,41579,40780
"하동군",50806,50177,49223,50259,49622,48831,47533,46574,44785,43449,42465,41606
"산청군",35691,35935,35849,36071,36098,36340,35952,35417,34857,34360,34028,33752
"함양군",40714,40692,40584,40339,40241,40175,40044,39637,39080,38310,37708,36945
"거창군",63103,63177,63137,63232,63308,62763,62455,62179,61502,61073,60387,60047
"합천군",50279,50290,50457,49145,48026,47000,45916,45204,44006,42935,42142,41203
"제주특별자치도",583713,593806,607346,624395,641597,657083,667191,670989,674635,676759,678159,675252
"제주시",429656,438165,448834,459876,470665,478700,485946,489405,492466,493096,493389,491654
"서귀포시",154057,155641,158512,164519,170932,178383,181245,181584,182169,183663,184770,183598
